Bl	G	R	H	S	V	L	A	B	Color
0	145	236	18	255	236	174	154	201	1
0	149	236	19	255	236	176	152	202	1
0	150	236	19	255	236	177	152	202	1
0	149	233	19	255	233	175	151	201	1
0	149	233	19	255	233	175	151	201	1
0	150	234	19	255	234	176	151	202	1
0	150	236	19	255	236	177	152	202	1
0	150	237	19	255	237	177	152	202	1
0	150	237	19	255	237	177	152	202	1
0	152	240	19	255	240	179	153	203	1
0	150	236	19	255	236	177	152	202	1
0	148	235	19	255	235	175	153	202	1
0	150	237	19	255	237	177	152	202	1
0	151	238	19	255	238	178	152	203	1
0	148	237	19	255	237	176	153	202	1
0	142	234	18	255	234	171	155	201	1
0	138	234	18	255	234	169	157	200	1
19	127	210	17	232	210	155	153	192	1
5	137	241	17	250	241	171	161	200	1
5	142	244	17	250	244	175	159	201	1
1	139	240	17	254	240	172	159	201	1
2	143	243	18	253	243	175	158	202	1
0	140	240	18	255	240	172	159	201	1
1	140	241	17	254	241	173	159	201	1
0	139	240	17	255	240	172	159	201	1
2	141	242	17	253	242	173	159	201	1
1	138	241	17	254	241	171	160	201	1
0	135	239	17	255	239	169	161	201	1
0	136	240	17	255	240	170	161	201	1
0	137	241	17	255	241	171	161	201	1
0	138	241	17	255	241	171	160	201	1
1	140	242	17	254	242	173	159	201	1
1	142	244	17	254	244	175	159	202	1
1	141	243	17	254	243	174	160	202	1
0	136	240	17	255	240	170	161	201	1
0	138	242	17	255	242	172	161	201	1
1	140	242	17	254	242	173	159	201	1
2	142	244	17	253	244	175	159	202	1
1	139	241	17	254	241	172	160	201	1
0	133	238	17	255	238	168	161	200	1
1	135	242	17	254	242	170	162	201	1
12	121	208	17	240	208	151	156	192	1
4	135	240	17	251	240	169	162	200	1
2	137	241	17	253	241	171	161	201	1
0	136	240	17	255	240	170	161	201	1
2	141	243	17	253	243	174	160	202	1
0	137	239	17	255	239	170	160	201	1
0	137	239	17	255	239	170	160	201	1
0	138	240	17	255	240	171	160	201	1
0	139	241	17	255	241	172	160	201	1
0	137	240	17	255	240	171	160	201	1
0	135	239	17	255	239	169	161	201	1
0	134	238	17	255	238	168	161	200	1
0	134	238	17	255	238	168	161	200	1
0	135	237	17	255	237	168	160	200	1
0	136	238	17	255	238	169	160	200	1
0	139	241	17	255	241	172	160	201	1
0	138	240	17	255	240	171	160	201	1
0	136	240	17	255	240	170	161	201	1
0	137	241	17	255	241	171	161	201	1
1	139	241	17	254	241	172	160	201	1
1	140	243	17	254	243	173	160	201	1
0	137	240	17	255	240	171	160	201	1
0	136	241	17	255	241	170	161	201	1
3	138	245	17	252	245	173	162	201	1
8	115	207	16	245	207	147	158	191	1
13	133	240	16	241	240	168	163	198	1
2	132	239	16	253	239	168	162	200	1
2	135	242	17	253	242	170	162	201	1
0	136	242	17	255	242	171	162	201	1
0	134	240	17	255	240	169	162	200	1
0	134	240	17	255	240	169	162	200	1
0	135	241	17	255	241	170	162	201	1
0	136	240	17	255	240	170	161	201	1
0	133	240	17	255	240	168	162	200	1
0	132	241	16	255	241	168	163	200	1
0	131	239	16	255	239	167	163	200	1
0	132	239	17	255	239	168	162	200	1
0	135	242	17	255	242	170	162	201	1
0	134	241	17	255	241	169	162	201	1
0	137	241	17	255	241	171	161	201	1
0	138	242	17	255	242	172	161	201	1
1	136	243	17	254	243	171	162	201	1
0	135	242	17	255	242	170	162	201	1
1	136	243	17	254	243	171	162	201	1
0	135	242	17	255	242	170	162	201	1
1	136	243	17	254	243	171	162	201	1
0	138	242	17	255	242	172	161	201	1
2	140	244	17	253	244	174	160	202	1
6	115	212	16	248	212	149	160	192	1
13	130	237	16	241	237	166	163	197	1
3	135	242	17	252	242	170	162	200	1
2	135	242	17	253	242	170	162	201	1
0	130	237	16	255	237	166	163	199	1
0	130	237	16	255	237	166	163	199	1
0	132	239	17	255	239	168	162	200	1
0	134	239	17	255	239	169	161	200	1
0	134	238	17	255	238	168	161	200	1
0	131	239	16	255	239	167	163	200	1
0	131	240	16	255	240	167	163	200	1
0	133	240	17	255	240	168	162	200	1
0	135	242	17	255	242	170	162	201	1
1	136	243	17	254	243	171	162	201	1
0	135	242	17	255	242	170	162	201	1
0	137	241	17	255	241	171	161	201	1
1	138	243	17	254	243	172	161	201	1
2	137	244	17	253	244	172	162	201	1
0	136	242	17	255	242	171	162	201	1
1	136	243	17	254	243	171	162	201	1
0	135	242	17	255	242	170	162	201	1
1	136	243	17	254	243	171	162	201	1
1	139	243	17	254	243	173	160	201	1
2	140	244	17	253	244	174	160	202	1
7	112	219	15	247	219	150	165	193	1
13	123	236	15	241	236	162	166	196	1
4	140	245	17	251	245	174	161	202	1
0	134	239	17	255	239	169	161	200	1
0	129	236	16	255	236	165	163	199	1
0	133	240	17	255	240	168	162	200	1
1	136	243	17	254	243	171	162	201	1
2	137	243	17	253	243	172	162	201	1
1	137	241	17	254	241	171	161	201	1
0	133	240	17	255	240	168	162	200	1
0	134	241	17	255	241	169	162	201	1
0	134	241	17	255	241	169	162	201	1
0	134	241	17	255	241	169	162	201	1
2	137	244	17	253	244	172	162	201	1
0	135	242	17	255	242	170	162	201	1
0	135	242	17	255	242	170	162	201	1
1	137	243	17	254	243	172	162	201	1
1	137	242	17	254	242	171	161	201	1
1	137	241	17	254	241	171	161	201	1
2	138	242	17	253	242	172	161	201	1
1	136	243	17	254	243	171	162	201	1
0	135	242	17	255	242	170	162	201	1
2	138	242	17	253	242	172	161	201	1
